path	kind	ceiling	disposition	owner	rationale	exit_or_review	review_by
crates/ctx-cli/src/commands/import.rs	source	1166	temporary	component:cli-import	Import command orchestration still combines source selection, refresh, and result reporting responsibilities.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-cli/src/mcp.rs	source	1026	temporary	component:mcp	The MCP command surface still combines transport setup, request dispatch, and response handling responsibilities.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-cli/src/pro/client.rs	source	1003	temporary	component:pro-client	The Pro client still combines request construction, transport, and response validation responsibilities.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-cli/src/pro/lifecycle.rs	source	1217	temporary	component:pro-lifecycle	Pro lifecycle coordination still combines installation state, launch, and recovery responsibilities.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-cli/src/pro/lifecycle_commands.rs	source	1364	temporary	component:pro-lifecycle	Pro lifecycle commands still combine setup, status, start, stop, and uninstall command handling.	Remove once those command responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-cli/src/pro/local_deletion.rs	source	1055	temporary	component:pro-lifecycle	Local Pro deletion still combines discovery, validation, deletion, and outcome reporting responsibilities.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-cli/src/semantic/daemon.rs	source	1137	temporary	component:semantic-daemon	Semantic daemon coordination still combines lifecycle state, request routing, and recovery responsibilities.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-cli/src/semantic/daemon_autostart.rs	source	1286	temporary	component:semantic-daemon	Daemon autostart still combines eligibility, launch coordination, and stale-state recovery responsibilities.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-cli/src/semantic/daemon_worker.rs	source	1192	temporary	component:semantic-daemon	The semantic daemon worker still combines queue handling, refresh execution, and progress publication responsibilities.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-cli/src/semantic/paths_status.rs	source	1174	temporary	component:semantic-status	Semantic path status still combines filesystem inspection, model state derivation, and user-facing status formatting.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-cli/tests/native_providers.rs	test	1814	cohesive	component:cli-native-provider-contracts	Splitting the public native-provider end-to-end contract matrix would duplicate shared process fixtures and obscure cross-provider CLI parity.	Re-review when the shared process-fixture contract gains an independent owner.	2026-10-01
crates/ctx-cli/tests/search_show_locate_sql.rs	test	1527	temporary	component:cli-search-contracts	Search, show, locate, and SQL integration contracts still share one oversized end-to-end test module.	Remove once the command contract groups are split and this file is at most 1500 physical lines.	2026-10-01
crates/ctx-cli/tests/upgrade.rs	test	1527	temporary	component:cli-upgrade	Upgrade integration coverage still combines detection, installation, rollback, and compatibility scenarios.	Remove once those scenario groups are split and this file is at most 1500 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/claude.rs	source	1468	temporary	component:provider-claude	The Claude importer still combines source discovery, record parsing, projection, and provider-specific validation.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/codebuddy/cli.rs	source	1001	temporary	component:provider-codebuddy	The CodeBuddy CLI importer still combines discovery, parsing, normalization, and event projection.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/continue_cli.rs	source	1170	temporary	component:provider-continue	The Continue CLI importer still combines source discovery, parsing, normalization, and event projection.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/crush/projection.rs	source	1176	temporary	component:provider-crush	Crush projection still combines event interpretation, normalization, and captured-session assembly.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/crush/tests.rs	test	1544	temporary	component:provider-crush	Crush provider tests still combine parsing, ordering, projection, and error-path scenarios.	Remove once those scenario groups are split and this file is at most 1500 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/firebender.rs	source	1011	temporary	component:provider-firebender	The Firebender importer still combines source discovery, parsing, normalization, and event projection.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/junie/projector.rs	source	1018	temporary	component:provider-junie	The Junie projector still combines record interpretation, message assembly, and provider-specific metadata projection.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/junie/tests.rs	test	1659	temporary	component:provider-junie	Junie provider tests still combine parsing, projection, ordering, and malformed-input scenarios.	Remove once those scenario groups are split and this file is at most 1500 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/native_jsonl/result_content.rs	source	1062	temporary	component:provider-native-jsonl	Native JSONL result-content handling still combines extraction, locator construction, truncation, and validation.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/openclaw.rs	source	1271	temporary	component:provider-openclaw	The OpenClaw importer still combines source discovery, parsing, normalization, and event projection.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/opencode/projection.rs	source	1190	temporary	component:provider-opencode	OpenCode projection still combines event interpretation, content extraction, and captured-session assembly.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/pi.rs	source	1239	temporary	component:provider-pi	The Pi importer still combines source discovery, record parsing, normalization, and event projection.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/rovodev/whole_json.rs	source	1501	temporary	component:provider-rovodev	RovoDev whole-JSON import still combines document decoding, message normalization, and event projection.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/task_json/projector.rs	source	1282	temporary	component:provider-task-json	Task JSON projection still combines record interpretation, message assembly, and metadata projection.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-history-capture/src/provider/providers/warp/integration_tests.rs	test	1598	temporary	component:provider-warp	Warp integration tests still combine discovery, parsing, projection, and attachment scenarios.	Remove once those scenario groups are split and this file is at most 1500 physical lines.	2026-10-01
crates/ctx-history-store/src/events.rs	source	1045	temporary	component:history-events	History event storage still combines event persistence, retrieval, and record-conversion responsibilities.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
crates/ctx-pro-host-protocol/src/output.rs	source	1055	temporary	component:pro-host-protocol	Pro host output handling still combines protocol encoding, validation, and output-shape conversion responsibilities.	Remove once those responsibilities are split and this file is at most 1000 physical lines.	2026-10-01
scripts/test-linux-release-construction.sh	source	1070	temporary	component:linux-release	The Linux release construction harness still combines image, input, offline-build, and artifact validation scenarios.	Remove once those scenario groups are split and this file is at most 1000 physical lines.	2026-10-01
